"id","private","size","nace","region","single_shift"
"j_106",0,"L","O","14",TRUE
"j_107",1,"L","C","14",FALSE
"j_108",1,"L","D.E","14",FALSE
"j_109",0,"L","C","14",FALSE
"j_110",0,"L","P","14",TRUE
"j_111",1,"L","I","14",FALSE
"j_112",1,"L","K.L","14",TRUE
"j_113",0,"L","Q","14",TRUE
"j_114",0,"L","O","14",TRUE
"j_115",1,"L","N","14",FALSE
"j_116",1,"L","G","14",FALSE
"j_117",1,"L","C","12",FALSE
"j_118",1,"L","C","14",FALSE
"j_119",1,"L","K.L","10",FALSE
"j_120",1,"L","C","14",TRUE
"j_121",1,"L","G","14",FALSE
"j_122",1,"M","Q","14",FALSE
"j_123",1,"L","K.L","30",TRUE
"j_124",1,"L","R.S","02",FALSE
"j_125",1,"L","N","14",TRUE
"j_126",1,"L","D.E","14",FALSE
"j_127",1,"L","M","14",FALSE
"j_128",1,"L","C","02",FALSE
"j_129",0,"L","Q","02",FALSE
"j_130",0,"L","R.S","02",FALSE
"j_131",0,"L","P","02",TRUE
"j_132",0,"L","P","02",TRUE
"j_133",1,"L","J","02",TRUE
"j_134",1,"L","G","02",FALSE
"j_135",1,"L","F","02",FALSE
"j_136",1,"L","F","02",TRUE
"j_137",0,"M","D.E","02",TRUE
"j_138",0,"L","K.L","02",TRUE
"j_139",0,"M","R.S","02",FALSE
"j_140",1,"L","C","14",TRUE
"j_141",1,"L","G","20",FALSE
"j_142",0,"L","D.E","20",TRUE
"j_143",1,"L","C","20",FALSE
"j_144",1,"L","C","20",FALSE
"j_145",1,"L","F","20",TRUE
"j_146",1,"L","C","20",FALSE
"j_147",0,"L","Q","20",FALSE
"j_148",1,"L","G","20",FALSE
"j_149",1,"L","M","30",TRUE
"j_150",1,"L","C","12",FALSE
"j_151",1,"L","F","24",TRUE
"j_152",1,"L","G","14",FALSE
"j_153",1,"L","R.S","24",TRUE
"j_154",1,"L","C","24",FALSE
"j_155",0,"M","R.S","08",FALSE
"j_156",1,"L","C","08",FALSE
"j_157",1,"L","C","08",FALSE
"j_158",1,"S","D.E","04",TRUE
"j_159",1,"L","C","04",FALSE
"j_160",1,"L","I","04",FALSE
"j_161",0,"L","Q","04",TRUE
"j_162",1,"L","C","04",FALSE
"j_163",1,"L","H","04",FALSE
"j_164",1,"L","C","04",TRUE
"j_165",1,"L","Q","10",FALSE
"j_166",1,"L","C","10",TRUE
"j_167",1,"M","F","10",TRUE
"j_168",1,"M","F","06",TRUE
"j_169",1,"S","M","12",TRUE
"j_170",1,"L","C","12",FALSE
"j_171",0,"L","H","12",FALSE
"j_172",1,"L","C","12",TRUE
"j_173",0,"M","D.E","14",TRUE
"j_174",1,"L","C","14",FALSE
"j_175",1,"L","C","14",FALSE
"j_176",0,"L","D.E","14",TRUE
"j_177",1,"L","H","14",FALSE
"j_178",1,"S","M","14",TRUE
"j_179",1,"L","K.L","14",TRUE
"j_180",1,"L","C","02",FALSE
"j_181",1,"L","C","22",FALSE
"j_182",1,"L","C","14",FALSE
"j_183",0,"L","J","14",TRUE
"j_184",1,"L","G","14",FALSE
"j_185",1,"L","C","04",FALSE
"j_186",1,"L","C","02",FALSE
"j_187",0,"L","Q","14",FALSE
"j_188",1,"M","I","14",FALSE
"j_189",1,"L","M","14",TRUE
"j_190",0,"L","O","24",FALSE
"j_191",1,"M","N","24",TRUE
"j_192",1,"L","G","02",FALSE
"j_193",1,"L","H","16",FALSE
"j_194",1,"L","C","16",TRUE
"j_195",1,"S","I","28",TRUE
"j_196",0,"L","H","28",FALSE
"j_197",1,"L","C","28",FALSE
"j_198",1,"L","C","18",FALSE
"j_199",1,"L","G","14",FALSE
"j_200",1,"M","D.E","18",FALSE
"j_201",1,"L","M","18",TRUE
"j_202",1,"L","C","22",FALSE
"j_203",0,"L","D.E","22",FALSE
"j_204",0,"L","D.E","32",TRUE
"j_205",0,"M","P","22",FALSE
"j_206",1,"L","C","22",FALSE
"j_207",1,"L","F","22",TRUE
"j_208",1,"L","N","22",FALSE
"j_209",1,"M","G","22",TRUE
"j_210",1,"S","F","22",TRUE
"j_211",1,"L","G","22",FALSE
"j_212",1,"L","H","22",FALSE
"j_213",0,"L","K.L","22",TRUE
"j_214",0,"L","D.E","22",TRUE
"j_215",0,"M","K.L","20",TRUE
"j_216",1,"M","N","20",TRUE
"j_217",0,"L","D.E","08",FALSE
"j_218",0,"L","Q","08",TRUE
"j_219",0,"M","Q","08",FALSE
"j_220",1,"L","C","08",FALSE
"j_221",1,"L","C","08",FALSE
"j_222",1,"L","I","22",FALSE
"j_223",1,"L","C","28",FALSE
"j_224",0,"L","R.S","22",TRUE
"j_225",1,"L","I","22",FALSE
"j_226",1,"L","C","02",FALSE
"j_227",1,"L","C","18",FALSE
"j_228",0,"L","M","24",TRUE
"j_229",1,"L","G","24",FALSE
"j_230",1,"L","N","24",TRUE
"j_231",0,"L","Q","24",TRUE
"j_232",1,"L","F","24",TRUE
"j_233",1,"L","N","24",FALSE
"j_234",1,"L","G","24",FALSE
"j_235",1,"L","N","24",TRUE
"j_236",1,"M","F","30",TRUE
"j_237",1,"L","F","30",TRUE
"j_238",1,"L","C","30",FALSE
"j_239",1,"L","C","06",FALSE
"j_240",1,"L","C","26",TRUE
"j_241",1,"M","M","26",TRUE
"j_242",1,"L","K.L","24",TRUE
"j_243",0,"L","D.E","24",FALSE
"j_244",1,"L","C","24",FALSE
"j_245",1,"L","F","24",TRUE
"j_246",1,"L","G","24",TRUE
"j_247",0,"L","N","24",TRUE
"j_248",1,"L","C","24",TRUE
"j_249",1,"L","K.L","24",FALSE
"j_250",1,"L","F","24",TRUE
"j_251",0,"L","D.E","24",TRUE
"j_252",1,"L","G","24",FALSE
"j_253",0,"L","I","24",FALSE
"j_254",1,"S","G","24",TRUE
"j_255",1,"L","C","24",FALSE
"j_256",0,"L","H","24",FALSE
"j_257",0,"L","C","24",TRUE
"j_258",0,"L","Q","24",FALSE
"j_259",0,"M","Q","24",TRUE
"j_260",0,"L","Q","24",TRUE
"j_261",1,"L","C","24",FALSE
"j_262",1,"L","F","24",TRUE
"j_263",1,"L","N","24",FALSE
"j_264",0,"L","D.E","24",TRUE
"j_265",0,"L","D.E","28",FALSE
"j_266",1,"L","C","28",FALSE
"j_267",1,"L","C","26",TRUE
"j_268",1,"M","C","26",FALSE
"j_269",1,"L","J","26",FALSE
"j_270",1,"L","N","26",FALSE
"j_271",1,"L","D.E","26",TRUE
"j_272",1,"L","M","30",TRUE
"j_273",1,"L","C","30",FALSE
"j_274",1,"L","N","30",FALSE
"j_275",1,"L","C","30",TRUE
"j_276",1,"L","Q","02",FALSE
"j_277",1,"L","C","30",FALSE
"j_278",1,"L","G","30",FALSE
"j_279",1,"L","N","14",FALSE
"j_280",1,"L","H","32",TRUE
"j_281",0,"L","R.S","32",FALSE
"j_282",0,"L","P","32",FALSE
"j_283",0,"L","Q","32",FALSE
"j_284",0,"L","H","32",FALSE
"j_285",0,"L","R.S","32",FALSE
"j_286",1,"L","C","32",TRUE
"j_287",0,"L","Q","32",FALSE
"j_288",0,"L","Q","04",FALSE
"j_289",1,"L","C","04",FALSE
"j_290",1,"L","C","04",TRUE
"j_291",1,"L","C","12",FALSE
"j_292",1,"L","C","12",TRUE
"j_293",1,"L","N","14",TRUE
"j_294",1,"L","G","12",FALSE
"j_295",1,"L","C","30",FALSE
"j_296",1,"L","C","02",FALSE
"j_297",1,"M","N","24",FALSE
"j_298",0,"M","R.S","20",FALSE
"j_299",1,"L","N","24",TRUE
"j_300",0,"L","P","14",FALSE
"j_301",1,"L","I","24",FALSE
"j_302",0,"L","P","14",TRUE
"j_303",1,"L","M","30",TRUE
"j_304",0,"M","M","24",FALSE
"j_305",1,"M","K.L","10",TRUE
"j_306",1,"L","F","24",TRUE
"j_307",1,"L","G","22",FALSE
"j_308",0,"L","D.E","12",TRUE
"j_309",1,"L","C","14",FALSE
"j_310",1,"L","I","02",TRUE
"j_311",1,"L","K.L","14",TRUE
"j_312",1,"L","C","30",FALSE
"j_313",0,"L","D.E","02",FALSE
"j_314",1,"L","C","22",FALSE
"j_315",1,"L","G","06",TRUE
"j_316",1,"L","C","18",FALSE
"j_317",0,"L","D.E","18",TRUE
"j_318",1,"L","N","14",FALSE
"j_319",1,"L","C","18",TRUE
"j_320",1,"L","D.E","18",TRUE
"j_321",0,"S","Q","24",FALSE
"j_322",1,"L","G","02",FALSE
"j_323",1,"L","I","02",FALSE
"j_324",0,"L","D.E","02",TRUE
"j_325",1,"L","N","02",FALSE
"j_326",1,"L","C","02",FALSE
"j_327",1,"L","C","02",TRUE
"j_328",0,"L","K.L","02",TRUE
"j_329",0,"L","R.S","02",FALSE
"j_330",1,"L","H","02",FALSE
"j_331",1,"L","C","02",FALSE
"j_332",1,"L","C","06",FALSE
"j_333",1,"S","R.S","06",TRUE
"j_334",0,"L","Q","20",TRUE
"j_335",1,"L","C","02",FALSE
"j_336",1,"L","N","14",TRUE
"j_337",1,"L","C","24",FALSE
"j_338",1,"L","C","10",TRUE
"j_339",1,"L","C","12",TRUE
"j_340",1,"L","F","12",TRUE
"j_341",1,"L","F","12",TRUE
"j_342",0,"L","H","28",TRUE
"j_343",1,"M","F","28",TRUE
"j_344",1,"L","C","28",TRUE
"j_345",0,"M","I","28",TRUE
"j_346",1,"L","C","28",TRUE
"j_347",1,"L","G","16",FALSE
"j_348",1,"L","F","24",TRUE
"j_349",1,"L","C","16",TRUE
"j_350",1,"L","C","16",TRUE
"j_351",1,"L","C","16",FALSE
"j_352",1,"L","C","16",FALSE
"j_353",1,"L","C","16",FALSE
"j_354",0,"M","P","16",TRUE
"j_355",1,"L","N","24",FALSE
"j_356",1,"L","C","16",FALSE
"j_357",1,"M","N","16",TRUE
"j_358",1,"L","C","30",FALSE
"j_359",1,"M","C","10",FALSE
"j_360",1,"L","I","24",FALSE
"j_361",0,"L","K.L","10",TRUE
"j_362",1,"M","I","10",FALSE
"j_363",1,"L","C","30",FALSE
"j_364",0,"L","R.S","30",FALSE
"j_365",0,"L","C","30",FALSE
"j_366",1,"L","G","30",FALSE
"j_367",1,"L","F","30",TRUE
"j_368",1,"M","G","16",FALSE
"j_369",1,"M","G","08",FALSE
"j_370",1,"M","G","14",FALSE
"j_371",1,"L","C","18",FALSE
"j_372",1,"L","F","18",TRUE
"j_373",1,"L","G","18",FALSE
"j_374",1,"L","C","18",FALSE
"j_375",1,"L","G","18",FALSE
"j_376",1,"S","G","18",TRUE
"j_377",1,"L","C","18",FALSE
"j_378",1,"L","C","18",FALSE
"j_379",1,"M","H","18",FALSE
"j_380",1,"L","G","14",FALSE
"j_381",0,"L","Q","14",TRUE
"j_382",1,"L","N","14",FALSE
"j_383",1,"L","N","22",FALSE
"j_384",1,"L","C","22",FALSE
"j_385",1,"S","C","28",TRUE
"j_386",1,"L","C","20",FALSE
"j_387",1,"M","Q","32",TRUE
"j_388",1,"M","G","32",TRUE
"j_389",1,"L","C","32",FALSE
"j_390",1,"M","J","32",TRUE
"j_391",1,"L","C","28",FALSE
"j_392",1,"L","H","32",TRUE
"j_393",0,"L","H","32",FALSE
"j_394",1,"M","G","26",TRUE
"j_395",0,"L","D.E","18",TRUE
"j_396",1,"L","D.E","18",FALSE
"j_397",1,"L","G","18",FALSE
"j_398",1,"M","G","18",FALSE
"j_399",1,"L","C","12",TRUE
"j_400",1,"L","C","28",FALSE
"j_401",1,"L","C","04",TRUE
"j_402",1,"L","C","32",FALSE
"j_403",0,"L","D.E","04",FALSE
"j_404",1,"L","F","04",TRUE
"j_405",1,"L","G","04",FALSE
"j_406",1,"L","G","04",FALSE
"j_407",1,"L","C","04",FALSE
"j_408",0,"L","Q","02",FALSE
"j_409",1,"L","C","02",FALSE
"j_410",1,"L","H","02",TRUE
"j_411",1,"L","F","02",TRUE
"j_412",0,"L","D.E","02",FALSE
"j_413",1,"L","C","04",TRUE
"j_414",1,"L","I","14",FALSE
"j_415",1,"S","D.E","04",TRUE
"j_416",1,"L","G","02",FALSE
"j_417",1,"L","C","02",TRUE
"j_418",0,"L","D.E","02",TRUE
"j_419",1,"L","C","30",FALSE
"j_420",1,"L","I","02",FALSE
"j_421",1,"L","C","02",TRUE
"j_422",1,"L","G","02",FALSE
"j_423",1,"L","N","02",TRUE
"j_424",1,"L","C","08",FALSE
"j_425",1,"L","G","06",FALSE
"j_426",1,"L","C","06",FALSE
"j_427",1,"L","F","08",TRUE
"j_428",1,"L","N","24",FALSE
"j_429",1,"M","G","08",TRUE
"j_430",1,"L","C","08",FALSE
"j_431",0,"L","P","22",TRUE
"j_432",0,"L","P","14",TRUE
"j_433",0,"L","P","12",FALSE
"j_434",0,"L","P","24",TRUE
"j_435",0,"L","P","04",TRUE
"j_436",0,"L","P","16",TRUE
"j_437",0,"L","P","02",TRUE
"j_438",1,"L","K.L","14",FALSE
"j_439",0,"L","O","20",TRUE
"j_440",0,"L","O","06",TRUE
"j_441",0,"L","O","10",TRUE
"j_442",0,"L","O","28",TRUE
"j_443",1,"S","G","32",TRUE
"j_444",0,"L","P","24",TRUE
"j_445",1,"L","C","26",FALSE
"j_446",1,"L","C","02",FALSE
"j_447",0,"L","P","02",FALSE
"j_448",0,"L","M","14",TRUE
"j_449",0,"L","M","14",TRUE
"j_450",1,"L","C","32",FALSE
"j_451",0,"L","M","14",TRUE
"j_452",0,"L","M","14",TRUE
"j_453",0,"L","P","14",TRUE
"j_454",0,"M","P","18",TRUE
"j_455",0,"L","P","10",TRUE
"j_456",0,"M","P","32",TRUE
"j_457",0,"L","P","22",TRUE
"j_458",0,"L","P","32",TRUE
"j_459",0,"M","P","30",TRUE
"j_460",0,"L","P","02",TRUE
"j_461",0,"L","P","02",TRUE
"j_462",0,"L","O","04",TRUE
"j_463",0,"L","H","22",TRUE
"j_464",0,"L","D.E","20",TRUE
"j_465",0,"L","C","06",TRUE
"j_466",0,"M","P","02",TRUE
"j_467",0,"L","P","10",TRUE
"j_468",0,"L","P","14",TRUE
"j_469",0,"L","P","02",TRUE
"j_470",0,"L","Q","24",TRUE
"j_471",0,"L","P","12",TRUE
"j_472",0,"M","P","08",TRUE
"j_473",0,"L","P","06",FALSE
"j_474",0,"L","P","14",TRUE
"j_475",0,"L","P","08",TRUE
"j_476",0,"L","P","04",FALSE
"j_477",0,"L","P","18",TRUE
"j_478",0,"L","P","32",TRUE
"j_479",0,"L","P","22",FALSE
"j_480",0,"L","P","14",TRUE
"j_481",0,"L","P","12",TRUE
"j_482",0,"L","P","12",TRUE
"j_483",0,"L","P","06",TRUE
"j_484",0,"L","P","12",TRUE
"j_485",0,"L","P","02",TRUE
"j_486",0,"L","P","12",TRUE
"j_487",0,"L","P","14",TRUE
"j_488",0,"L","P","14",TRUE
"j_489",0,"L","P","22",TRUE
"j_490",0,"L","P","10",TRUE
"j_491",0,"L","P","12",TRUE
"j_492",0,"L","P","02",TRUE
"j_493",0,"L","Q","32",FALSE
"j_494",0,"L","P","14",TRUE
"j_495",0,"L","P","28",TRUE
"j_496",0,"L","P","02",FALSE
"j_497",0,"L","P","04",TRUE
"j_498",0,"L","P","28",TRUE
"j_499",0,"M","P","22",FALSE
"j_500",0,"L","P","18",TRUE
"j_501",0,"L","P","22",TRUE
"j_502",0,"L","Q","06",FALSE
"j_503",0,"L","P","06",TRUE
"j_504",0,"L","P","06",TRUE
"j_505",0,"L","P","06",TRUE
"j_506",0,"L","P","14",TRUE
"j_507",0,"L","P","14",FALSE
"j_508",0,"M","P","24",FALSE
"j_509",0,"L","P","12",TRUE
"j_510",0,"L","Q","22",TRUE
"j_511",0,"L","P","12",TRUE
"j_512",0,"L","Q","24",FALSE
"j_513",0,"L","Q","22",TRUE
"j_514",0,"M","P","32",TRUE
"j_515",0,"L","P","04",TRUE
"j_516",0,"L","P","32",TRUE
"j_517",0,"L","P","10",TRUE
"j_518",0,"L","P","32",TRUE
"j_519",0,"L","P","32",TRUE
"j_520",0,"L","P","22",TRUE
"j_521",0,"L","P","22",FALSE
"j_522",0,"M","P","10",TRUE
"j_523",0,"L","P","32",FALSE
"j_524",0,"M","P","10",TRUE
"j_525",0,"L","P","32",TRUE
"j_526",0,"M","Q","14",FALSE
"j_527",0,"M","Q","08",FALSE
"j_528",0,"L","P","28",TRUE
"j_529",0,"L","P","04",TRUE
"j_530",0,"L","P","18",TRUE
"j_531",0,"L","P","32",TRUE
"j_532",0,"L","Q","30",TRUE
"j_533",0,"L","P","30",TRUE
"j_534",0,"L","P","02",FALSE
"j_535",0,"M","P","30",FALSE
"j_536",0,"L","Q","30",TRUE
"j_537",0,"L","Q","30",FALSE
"j_538",0,"L","P","30",FALSE
"j_539",0,"L","Q","14",FALSE
"j_540",0,"L","P","12",FALSE
"j_541",0,"L","P","02",TRUE
"j_542",0,"L","P","04",TRUE
"j_543",0,"M","P","32",FALSE
"j_544",0,"M","P","14",FALSE
"j_545",0,"L","R.S","22",TRUE
"j_546",0,"L","R.S","32",FALSE
"j_547",0,"L","R.S","30",FALSE
"j_548",0,"L","R.S","02",FALSE
"j_549",0,"L","R.S","04",FALSE
"j_550",0,"M","R.S","02",TRUE
"j_551",0,"M","R.S","06",TRUE
"j_552",0,"L","P","24",TRUE
"j_553",0,"L","R.S","22",FALSE
"j_554",0,"L","P","28",TRUE
"j_555",0,"M","R.S","04",FALSE
"j_556",0,"M","R.S","14",TRUE
"j_557",1,"L","Q","04",TRUE
"j_558",1,"L","Q","04",FALSE
"j_559",0,"L","Q","32",FALSE
"j_560",1,"L","Q","06",FALSE
"j_561",0,"L","Q","32",FALSE
"j_562",0,"L","Q","02",FALSE
"j_563",0,"L","Q","02",FALSE
"j_564",0,"L","M","14",FALSE
"j_565",0,"L","M","10",TRUE
"j_566",0,"L","Q","20",TRUE
"j_567",0,"L","Q","14",FALSE
"j_568",0,"L","Q","24",FALSE
"j_569",0,"L","R.S","14",TRUE
"j_570",0,"L","Q","14",FALSE
"j_571",0,"L","Q","26",TRUE
"j_572",0,"L","O","22",TRUE
"j_573",0,"L","Q","24",TRUE
"j_574",0,"L","Q","16",FALSE
"j_575",0,"L","O","04",TRUE
"j_576",0,"L","Q","32",FALSE
"j_577",0,"L","Q","22",TRUE
"j_578",0,"L","Q","12",TRUE
"j_579",0,"L","Q","02",FALSE
"j_580",0,"L","Q","30",TRUE
"j_581",0,"L","Q","04",FALSE
"j_582",0,"L","Q","02",TRUE
"j_583",0,"L","Q","14",FALSE
"j_584",0,"L","Q","22",FALSE
"j_585",0,"L","Q","30",FALSE
"j_586",0,"L","Q","14",FALSE
"j_587",0,"L","Q","10",FALSE
"j_588",0,"L","Q","04",TRUE
"j_589",0,"L","Q","30",FALSE
"j_590",0,"L","Q","30",FALSE
"j_591",0,"L","Q","04",FALSE
"j_592",0,"L","Q","28",FALSE
"j_593",0,"L","Q","14",FALSE
"j_594",0,"L","Q","22",FALSE
"j_595",0,"L","Q","04",TRUE
"j_596",0,"L","Q","20",FALSE
"j_597",0,"L","Q","06",FALSE
"j_598",0,"M","O","22",TRUE
"j_599",0,"M","O","16",TRUE
"j_600",0,"L","Q","10",TRUE
"j_601",0,"L","Q","26",TRUE
"j_602",0,"L","Q","20",FALSE
"j_603",0,"M","O","30",TRUE
"j_604",0,"L","Q","30",FALSE
"j_605",0,"L","Q","12",FALSE
"j_606",0,"L","Q","06",FALSE
"j_607",0,"L","Q","18",TRUE
"j_608",0,"L","Q","22",FALSE
"j_609",0,"L","Q","28",TRUE
"j_610",0,"L","Q","28",FALSE
"j_611",0,"L","Q","30",TRUE
"j_612",0,"L","Q","10",TRUE
"j_613",0,"M","Q","16",TRUE
"j_614",0,"L","Q","24",FALSE
"j_615",0,"L","Q","24",TRUE
"j_616",0,"L","Q","14",TRUE
"j_617",0,"L","Q","14",TRUE
"j_618",0,"L","Q","32",FALSE
"j_619",0,"M","O","02",TRUE
"j_620",0,"L","Q","24",FALSE
"j_621",0,"L","Q","30",TRUE
"j_622",0,"L","Q","14",TRUE
"j_623",0,"L","Q","14",TRUE
"j_624",0,"S","Q","10",TRUE
"j_625",0,"L","Q","16",TRUE
"j_626",0,"L","Q","30",FALSE
"j_627",0,"L","Q","10",FALSE
"j_628",0,"L","Q","02",TRUE
"j_629",0,"L","C","24",TRUE
"j_630",0,"M","C","14",TRUE
"j_631",0,"L","M","02",TRUE
"j_632",0,"L","R.S","04",FALSE
"j_633",0,"L","R.S","24",FALSE
"j_634",0,"M","R.S","22",FALSE
"j_635",0,"L","R.S","30",FALSE
"j_636",0,"M","R.S","32",FALSE
"j_637",0,"L","R.S","24",FALSE
"j_638",0,"L","O","20",FALSE
"j_639",0,"L","O","04",FALSE
"j_640",0,"L","O","24",TRUE
"j_641",0,"L","O","12",FALSE
"j_642",0,"L","O","28",FALSE
"j_643",1,"L","N","30",TRUE
"j_644",0,"L","P","30",TRUE
"j_645",1,"M","G","20",TRUE
"j_646",1,"M","G","22",FALSE
"j_647",1,"M","G","22",FALSE
"j_648",1,"L","G","22",TRUE
"j_649",1,"M","G","04",TRUE
"j_650",1,"M","C","22",FALSE
"j_651",1,"L","G","24",FALSE
"j_652",1,"M","G","24",TRUE
"j_653",1,"M","C","32",FALSE
"j_654",1,"M","G","12",TRUE
"j_655",1,"L","G","12",FALSE
"j_656",1,"L","G","12",FALSE
"j_657",1,"L","G","12",FALSE
"j_658",1,"M","G","12",FALSE
"j_659",1,"L","G","12",FALSE
"j_660",1,"M","G","12",FALSE
"j_661",1,"L","G","12",FALSE
"j_662",1,"S","G","06",TRUE
"j_663",1,"L","G","06",FALSE
"j_664",1,"M","G","06",TRUE
"j_665",1,"L","G","10",FALSE
"j_666",1,"M","G","10",FALSE
"j_667",1,"L","G","28",FALSE
"j_668",1,"M","G","28",TRUE
"j_669",1,"M","G","28",FALSE
"j_670",1,"L","G","24",FALSE
"j_671",1,"M","G","30",FALSE
"j_672",1,"L","G","30",TRUE
"j_673",1,"L","G","18",FALSE
"j_674",1,"M","G","18",FALSE
"j_675",1,"M","G","32",TRUE
"j_676",1,"M","G","14",FALSE
"j_677",1,"M","G","14",TRUE
"j_678",1,"M","G","02",TRUE
"j_679",1,"M","C","02",TRUE
"j_680",1,"L","C","02",TRUE
"j_681",0,"M","P","24",TRUE
"j_682",1,"L","C","12",FALSE
"j_683",1,"M","C","10",TRUE
"j_684",1,"L","C","18",TRUE
"j_685",1,"M","Q","14",FALSE
"j_686",1,"M","C","14",TRUE
"j_687",1,"L","C","20",FALSE
"j_688",1,"L","C","24",FALSE
"j_689",1,"L","C","12",FALSE
"j_690",1,"L","C","06",TRUE
"j_691",1,"L","C","10",FALSE
"j_692",1,"L","C","10",TRUE
"j_693",1,"L","C","16",FALSE
"j_694",1,"L","C","16",TRUE
"j_695",1,"M","C","14",FALSE
"j_696",1,"M","C","02",FALSE
"j_697",1,"L","N","04",FALSE
"j_698",1,"M","C","28",TRUE
"j_699",1,"L","C","22",TRUE
"j_700",1,"L","C","24",TRUE
"j_701",1,"M","C","24",TRUE
"j_702",1,"M","C","22",TRUE
"j_703",1,"L","C","12",FALSE
"j_704",1,"L","N","10",FALSE
"j_705",1,"L","N","28",TRUE
"j_706",1,"L","C","30",TRUE
"j_707",1,"L","C","30",FALSE
"j_708",1,"L","C","18",FALSE
"j_709",1,"L","C","32",TRUE
"j_710",1,"L","C","02",TRUE
"j_711",1,"L","N","02",FALSE
"j_712",1,"M","C","12",FALSE
"j_713",1,"L","C","30",TRUE
"j_714",1,"L","K.L","20",TRUE
"j_715",1,"L","K.L","20",TRUE
"j_716",1,"L","K.L","04",TRUE
"j_717",1,"M","K.L","22",TRUE
"j_718",1,"L","K.L","24",TRUE
"j_719",1,"L","K.L","24",TRUE
