"id","private","size","nace","region","weight"
"j_61",0,"L","M","14",1
"j_62",0,"L","M","14",1
"j_63",0,"L","P","18",1
"j_64",1,"L","C","18",1
"j_65",0,"L","H","14",2
"j_66",0,"L","M","10",1
"j_67",1,"L","C","22",1
"j_68",0,"M","O","12",5
"j_69",0,"M","O","16",4
"j_70",0,"L","M","14",1
"j_71",1,"L","F","20",1
"j_72",1,"M","N","20",1
"j_73",0,"L","O","14",1
"j_74",1,"L","C","22",2
"j_75",0,"L","O","10",1
"j_76",0,"L","O","10",6
"j_77",0,"L","M","28",1
"j_78",0,"L","O","02",1
"j_79",0,"L","O","30",1
"j_80",0,"L","O","26",1
"j_81",0,"L","O","08",1
"j_82",0,"L","O","32",1
"j_83",0,"L","O","20",1
"j_84",0,"L","O","32",1
"j_85",0,"L","P","30",1
"j_86",0,"L","P","14",1
"j_87",0,"L","P","32",1
"j_88",0,"L","C","30",1
"j_89",1,"L","C","28",1
"j_90",0,"L","M","30",1
"j_91",0,"L","O","16",1
"j_92",0,"L","H","14",1
"j_93",0,"L","M","14",1
"j_94",0,"L","K.L","24",1
"j_95",0,"L","K.L","12",1
"j_96",0,"L","K.L","30",1
"j_97",0,"L","K.L","22",1
"j_98",0,"L","K.L","14",2
"j_99",0,"L","K.L","02",1
"j_100",0,"L","O","24",6
"j_101",0,"M","O","16",4
"j_102",0,"L","O","32",5
"j_103",0,"L","O","14",9
"j_104",0,"L","C","26",1
"j_105",1,"M","H","22",15
"j_106",1,"L","G","14",1
"j_107",1,"L","H","22",1
"j_108",0,"L","H","22",1
"j_109",0,"L","O","22",1
"j_110",0,"L","O","32",1
"j_111",0,"L","O","22",1
"j_112",0,"L","P","22",1
"j_113",0,"L","O","02",1
"j_114",0,"M","K.L","20",1
"j_115",0,"L","K.L","02",1
"j_116",0,"L","O","14",1
"j_117",0,"L","O","04",1
"j_118",0,"L","O","22",1
"j_119",0,"L","O","06",1
"j_120",0,"L","O","28",1
"j_121",0,"L","O","16",1
"j_122",0,"L","O","30",1
"j_123",0,"L","O","18",1
"j_124",0,"L","O","32",1
"j_125",0,"L","O","30",1
"j_126",0,"L","O","12",1
"j_127",0,"L","M","14",1
"j_128",0,"L","C","24",1
"j_129",0,"L","C","30",1
"j_130",0,"L","C","02",1
"j_131",0,"L","C","14",1
"j_132",0,"L","P","14",1
"j_133",0,"L","P","12",1
"j_134",0,"L","P","30",1
"j_135",0,"L","O","14",1
"j_136",0,"L","O","14",1
"j_137",0,"L","Q","32",2
"j_138",0,"L","P","14",1
"j_139",0,"L","P","12",1
"j_140",0,"L","P","32",1
"j_141",0,"L","P","22",1
"j_142",0,"L","P","10",1
"j_143",0,"L","R.S","32",1
"j_144",0,"L","P","22",1
"j_145",0,"L","P","04",1
"j_146",0,"M","P","32",6
"j_147",0,"L","P","32",1
"j_148",0,"L","P","24",7
"j_149",0,"L","Q","10",2
"j_150",0,"L","P","14",8
"j_151",0,"M","R.S","02",1
"j_152",0,"L","P","02",1
"j_153",0,"L","Q","12",1
"j_154",0,"L","Q","04",1
"j_155",0,"L","P","06",1
"j_156",0,"M","I","06",1
"j_157",0,"M","P","02",7
"j_158",0,"L","P","32",1
"j_159",0,"L","P","28",1
"j_160",0,"M","Q","24",12
"j_161",0,"M","P","10",6
"j_162",0,"L","P","32",1
"j_163",0,"L","P","22",1
"j_164",0,"L","P","22",1
"j_165",0,"L","P","10",1
"j_166",0,"L","P","32",1
"j_167",0,"L","I","22",2
"j_168",0,"L","P","32",2
"j_169",0,"L","P","32",1
"j_170",0,"L","P","22",1
"j_171",0,"M","Q","08",1
"j_172",0,"L","P","30",1
"j_173",0,"M","M","32",7
"j_174",0,"L","P","30",1
"j_175",0,"M","I","30",13
"j_176",0,"L","P","14",1
"j_177",0,"L","P","14",1
"j_178",0,"L","P","14",1
"j_179",0,"L","P","14",2
"j_180",0,"L","O","14",1
"j_181",0,"L","P","24",1
"j_182",0,"L","R.S","12",1
"j_183",0,"L","R.S","30",1
"j_184",0,"L","R.S","12",1
"j_185",0,"M","R.S","14",6
"j_186",0,"L","P","10",1
"j_187",0,"M","R.S","32",1
"j_188",0,"L","P","12",1
"j_189",0,"L","R.S","24",1
"j_190",0,"L","R.S","12",1
"j_191",0,"L","R.S","30",1
"j_192",0,"L","R.S","02",1
"j_193",0,"L","R.S","20",1
"j_194",0,"L","R.S","18",1
"j_195",0,"M","R.S","02",1
"j_196",0,"L","R.S","32",1
"j_197",0,"L","P","14",1
"j_198",0,"L","P","24",1
"j_199",0,"M","R.S","32",1
"j_200",0,"M","R.S","24",1
"j_201",0,"M","R.S","32",1
"j_202",0,"L","P","06",1
"j_203",0,"L","R.S","24",1
"j_204",0,"L","R.S","30",1
"j_205",0,"M","P","18",7
"j_206",0,"M","R.S","20",1
"j_207",0,"M","R.S","04",2
"j_208",0,"M","R.S","32",1
"j_209",0,"L","O","14",1
"j_210",1,"L","Q","14",1
"j_211",1,"L","Q","02",1
"j_212",0,"L","M","14",1
"j_213",0,"L","Q","14",1
"j_214",0,"L","Q","12",1
"j_215",0,"L","P","20",1
"j_216",0,"L","Q","20",1
"j_217",0,"L","P","22",1
"j_218",0,"L","Q","12",1
"j_219",0,"L","Q","32",1
"j_220",0,"L","P","24",1
"j_221",0,"L","P","14",1
"j_222",0,"M","Q","22",12
"j_223",0,"L","Q","08",1
"j_224",0,"L","Q","14",1
"j_225",0,"L","Q","14",1
"j_226",0,"L","Q","06",1
"j_227",0,"L","Q","16",1
"j_228",0,"L","Q","02",1
"j_229",0,"L","Q","30",1
"j_230",0,"M","P","22",7
"j_231",0,"L","Q","30",1
"j_232",0,"L","Q","02",1
"j_233",0,"L","Q","30",1
"j_234",0,"L","Q","16",1
"j_235",0,"L","Q","14",1
"j_236",0,"L","Q","18",1
"j_237",0,"L","Q","24",1
"j_238",0,"L","Q","08",2
"j_239",0,"L","Q","20",1
"j_240",0,"L","Q","12",1
"j_241",0,"L","Q","24",1
"j_242",0,"L","Q","22",1
"j_243",0,"L","Q","02",1
"j_244",0,"L","O","04",1
"j_245",0,"L","Q","22",1
"j_246",0,"L","O","30",1
"j_247",0,"L","Q","02",1
"j_248",0,"L","Q","10",1
"j_249",0,"L","Q","10",1
"j_250",0,"L","Q","10",1
"j_251",0,"L","Q","16",1
"j_252",0,"L","Q","04",1
"j_253",0,"L","Q","14",1
"j_254",0,"L","Q","02",1
"j_255",0,"L","Q","04",1
"j_256",0,"L","Q","32",1
"j_257",0,"L","Q","04",1
"j_258",0,"L","Q","12",1
"j_259",0,"L","Q","12",1
"j_260",0,"L","Q","28",1
"j_261",0,"L","Q","10",1
"j_262",0,"L","Q","12",1
"j_263",0,"L","Q","18",1
"j_264",0,"L","Q","10",1
"j_265",0,"L","Q","04",1
"j_266",0,"L","Q","24",1
"j_267",0,"L","Q","10",1
"j_268",0,"L","Q","12",1
"j_269",0,"L","Q","14",1
"j_270",0,"L","O","12",1
"j_271",0,"L","Q","14",1
"j_272",0,"L","Q","14",1
"j_273",0,"L","Q","14",2
"j_274",0,"L","Q","14",2
"j_275",0,"L","Q","24",1
"j_276",0,"L","Q","24",1
"j_277",0,"L","Q","12",12
"j_278",0,"L","Q","12",1
"j_279",0,"L","Q","14",1
"j_280",0,"M","O","22",5
"j_281",0,"L","O","24",6
"j_282",0,"L","O","24",1
"j_283",0,"M","O","24",6
"j_284",0,"L","Q","26",1
"j_285",0,"L","Q","26",1
"j_286",0,"L","Q","14",1
"j_287",0,"L","Q","28",1
"j_288",0,"M","O","06",7
"j_289",0,"L","Q","24",1
"j_290",0,"L","Q","26",1
"j_291",0,"L","Q","12",1
"j_292",0,"L","Q","12",1
"j_293",0,"L","Q","12",1
"j_294",0,"L","Q","32",1
"j_295",0,"L","Q","14",1
"j_296",0,"L","Q","12",1
"j_297",0,"L","Q","12",2
"j_298",0,"L","Q","06",1
"j_299",0,"L","Q","28",1
"j_300",0,"L","Q","30",1
"j_301",0,"L","Q","18",1
"j_302",0,"L","Q","14",2
"j_303",0,"L","Q","14",1
"j_304",0,"L","Q","14",1
"j_305",0,"L","Q","14",2
"j_306",0,"L","Q","02",1
"j_307",0,"M","O","32",5
"j_308",0,"L","Q","22",1
"j_309",0,"L","Q","26",1
"j_310",0,"L","Q","06",1
"j_311",0,"L","Q","06",1
"j_312",0,"L","Q","30",1
"j_313",0,"L","Q","30",1
"j_314",0,"L","Q","08",1
"j_315",0,"L","O","08",1
"j_316",0,"L","Q","24",1
"j_317",0,"L","Q","12",1
"j_318",0,"L","Q","10",1
"j_319",0,"L","Q","28",1
"j_320",0,"L","Q","30",1
"j_321",0,"L","Q","30",1
"j_322",0,"L","Q","30",1
"j_323",0,"L","Q","14",1
"j_324",0,"L","Q","14",1
"j_325",0,"L","Q","14",1
"j_326",0,"L","Q","32",1
"j_327",0,"L","Q","10",1
"j_328",0,"L","Q","08",1
"j_329",0,"L","Q","26",1
"j_330",0,"L","Q","26",1
"j_331",0,"L","Q","32",1
"j_332",0,"L","Q","16",1
"j_333",0,"L","Q","14",2
"j_334",0,"L","O","24",1
"j_335",0,"L","Q","24",1
"j_336",0,"L","Q","18",1
"j_337",0,"L","Q","02",12
"j_338",0,"L","Q","16",1
"j_339",0,"L","Q","14",1
"j_340",0,"L","Q","10",1
"j_341",0,"L","Q","10",1
"j_342",0,"L","Q","02",1
"j_343",0,"L","Q","16",1
"j_344",0,"L","O","14",1
"j_345",0,"L","C","04",14
"j_346",0,"L","C","32",2
"j_347",0,"L","Q","10",2
"j_348",0,"L","Q","28",9
"j_349",0,"L","P","30",1
"j_350",0,"L","Q","26",12
"j_351",0,"L","Q","10",1
"j_352",0,"L","Q","24",1
"j_353",0,"L","Q","02",1
"j_354",0,"L","Q","02",1
"j_355",0,"L","M","14",1
"j_356",0,"L","M","06",1
"j_357",0,"L","R.S","22",1
"j_358",0,"L","R.S","10",1
"j_359",0,"M","R.S","16",1
"j_360",0,"L","O","14",1
"j_361",0,"L","O","14",1
"j_362",0,"L","O","10",1
"j_363",0,"L","O","22",1
"j_364",0,"L","O","26",1
"j_365",0,"L","O","06",1
"j_366",0,"L","O","28",1
"j_367",0,"L","O","16",1
"j_368",0,"L","O","32",1
"j_369",0,"L","O","02",1
"j_370",0,"L","O","08",1
"j_371",0,"L","O","24",1
"j_372",0,"L","O","02",5
"j_373",0,"L","O","30",5
"j_374",0,"L","O","22",5
"j_375",0,"L","O","14",1
"j_376",0,"L","O","02",1
"j_377",0,"L","O","30",1
"j_378",0,"L","O","22",1
"j_379",0,"L","O","04",1
"j_380",0,"L","O","14",9
"j_381",1,"L","G","04",1
"j_382",1,"L","G","04",1
"j_383",1,"L","G","26",1
"j_384",1,"M","G","26",1
"j_385",1,"L","G","24",1
"j_386",1,"M","G","12",23
"j_387",1,"L","G","12",1
"j_388",1,"M","G","10",15
"j_389",1,"L","G","28",1
"j_390",1,"M","G","16",1
"j_391",1,"M","G","30",25
"j_392",1,"L","G","18",1
"j_393",1,"L","G","18",1
"j_394",1,"L","G","18",1
"j_395",1,"L","G","18",1
"j_396",1,"L","G","18",2
"j_397",1,"L","G","32",1
"j_398",1,"S","K.L","14",8
"j_399",1,"L","C","14",26
"j_400",1,"L","C","22",1
"j_401",1,"L","R.S","30",2
"j_402",1,"L","C","32",15
"j_403",1,"L","Q","32",1
"j_404",1,"M","Q","14",15
"j_405",1,"L","G","12",1
"j_406",1,"L","G","30",1
"j_407",1,"L","G","20",1
"j_408",1,"L","C","22",1
"j_409",1,"L","C","10",1
"j_410",1,"L","C","10",1
"j_411",1,"L","C","12",1
"j_412",1,"L","C","30",1
"j_413",1,"L","C","22",2
"j_414",1,"M","G","06",1
"j_415",1,"L","C","06",1
"j_416",1,"L","C","10",1
"j_417",1,"L","C","28",1
"j_418",1,"L","C","28",16
"j_419",1,"L","N","30",1
"j_420",1,"L","N","18",1
"j_421",1,"L","C","14",26
"j_422",1,"L","C","02",1
"j_423",1,"M","K.L","20",1
"j_424",1,"M","K.L","20",1
"j_425",1,"M","D.E","20",1
"j_426",1,"M","K.L","20",2
"j_427",1,"M","K.L","04",1
"j_428",1,"M","K.L","28",1
"j_429",1,"L","K.L","22",2
"j_430",1,"L","K.L","22",1
"j_431",1,"L","K.L","22",1
"j_432",1,"M","K.L","24",1
"j_433",1,"L","K.L","24",1
"j_434",1,"L","K.L","24",1
"j_435",1,"L","K.L","24",1
"j_436",1,"M","K.L","26",1
"j_437",1,"M","K.L","26",2
"j_438",1,"M","K.L","32",1
"j_439",1,"M","K.L","22",1
"j_440",1,"M","K.L","22",9
"j_441",1,"M","K.L","12",1
"j_442",1,"L","K.L","12",1
"j_443",1,"L","K.L","06",1
"j_444",1,"L","K.L","06",1
"j_445",1,"M","K.L","06",1
"j_446",1,"L","K.L","06",1
"j_447",1,"M","K.L","06",1
"j_448",1,"L","K.L","10",1
"j_449",1,"L","K.L","10",1
"j_450",1,"M","K.L","28",2
"j_451",1,"M","K.L","28",1
"j_452",1,"M","K.L","16",2
"j_453",1,"L","K.L","16",1
"j_454",1,"L","K.L","30",1
"j_455",1,"L","K.L","18",1
"j_456",1,"L","K.L","32",1
"j_457",1,"L","K.L","14",1
"j_458",1,"M","K.L","14",9
"j_459",1,"L","K.L","14",1
"j_460",1,"L","K.L","02",1
"j_461",1,"M","K.L","02",1
"j_462",1,"L","K.L","08",1
"j_463",1,"M","K.L","08",1
"j_464",1,"L","K.L","08",1
"j_465",1,"L","K.L","04",1
"j_466",1,"L","K.L","22",1
"j_467",1,"L","K.L","22",1
"j_468",1,"L","K.L","22",1
"j_469",1,"L","K.L","22",1
"j_470",1,"L","K.L","24",1
"j_471",1,"M","K.L","24",2
"j_472",1,"M","K.L","26",1
"j_473",1,"L","K.L","26",1
"j_474",1,"L","K.L","26",1
"j_475",1,"L","K.L","26",1
"j_476",1,"L","K.L","32",1
"j_477",1,"L","K.L","22",1
"j_478",1,"L","K.L","32",1
"j_479",1,"L","K.L","12",2
"j_480",1,"L","K.L","06",1
"j_481",1,"L","K.L","10",1
"j_482",1,"L","K.L","10",1
"j_483",1,"L","K.L","10",1
"j_484",1,"M","K.L","28",1
"j_485",1,"L","K.L","30",3
"j_486",1,"L","K.L","30",2
"j_487",1,"M","K.L","18",1
"j_488",1,"L","K.L","18",1
"j_489",1,"M","K.L","32",1
"j_490",1,"L","K.L","02",1
"j_491",1,"L","K.L","02",1
"j_492",0,"L","O","12",1
"j_493",0,"L","O","10",1
"j_494",0,"L","O","20",1
"j_495",0,"L","O","04",1
"j_496",0,"L","O","22",1
"j_497",0,"L","O","24",1
"j_498",0,"L","O","06",1
"j_499",0,"L","O","16",1
"j_500",0,"L","O","30",1
"j_501",0,"L","O","18",1
"j_502",0,"L","O","32",1
"j_503",0,"L","O","02",1
"j_504",0,"L","O","24",1
"j_505",0,"L","O","24",1
"j_506",0,"L","O","24",1
"j_507",0,"L","O","24",1
"j_508",0,"L","O","24",1
"j_509",0,"L","O","24",1
"j_510",0,"L","O","24",1
"j_511",0,"L","O","24",1
"j_512",0,"L","O","24",1
"j_513",0,"L","O","24",1
"j_514",0,"L","O","24",1
"j_515",0,"L","O","26",1
"j_516",0,"L","O","14",1
"j_517",0,"L","O","16",1
"j_518",0,"L","O","28",1
"j_519",0,"L","O","28",1
"j_520",0,"L","O","22",1
"j_521",0,"L","O","24",1
"j_522",0,"L","O","24",1
"j_523",0,"L","O","26",1
"j_524",0,"L","O","14",1
"j_525",0,"L","O","14",1
"j_526",0,"L","O","32",1
"j_527",0,"L","O","32",1
"j_528",0,"L","O","22",1
"j_529",0,"L","O","12",1
"j_530",0,"L","O","06",1
"j_531",0,"L","O","06",1
"j_532",0,"L","O","06",1
"j_533",0,"L","O","10",1
"j_534",0,"L","O","28",1
"j_535",0,"L","O","28",1
"j_536",0,"L","O","28",1
"j_537",0,"L","O","16",1
"j_538",0,"L","O","30",1
"j_539",0,"L","O","30",1
"j_540",0,"L","O","30",1
"j_541",0,"L","O","18",1
"j_542",0,"L","O","18",1
"j_543",0,"L","O","14",1
"j_544",0,"L","O","14",1
"j_545",0,"L","O","06",1
"j_546",0,"L","O","02",1
"j_547",0,"L","O","02",1
"j_548",0,"L","O","08",1
"j_549",0,"L","O","20",1
"j_550",0,"L","O","04",1
"j_551",0,"L","O","22",1
"j_552",0,"L","O","14",9
"j_553",0,"L","O","12",1
"j_554",0,"L","O","12",1
"j_555",0,"L","O","12",1
"j_556",0,"L","O","06",1
"j_557",0,"L","O","06",1
"j_558",0,"L","O","10",1
"j_559",0,"L","O","10",1
"j_560",0,"L","O","28",1
"j_561",0,"L","O","16",1
"j_562",0,"L","O","30",1
"j_563",0,"L","O","30",1
"j_564",0,"L","O","30",1
"j_565",0,"L","O","30",1
"j_566",0,"L","O","14",1
"j_567",0,"L","O","02",5
"j_568",0,"L","O","08",1
"j_569",0,"L","O","08",1
"j_570",0,"L","O","08",1
"j_571",0,"L","O","20",1
"j_572",0,"L","O","22",1
"j_573",0,"L","O","24",1
"j_574",0,"L","O","24",1
"j_575",0,"L","O","26",1
"j_576",0,"L","O","12",1
"j_577",0,"L","O","12",1
"j_578",0,"L","O","06",1
"j_579",0,"L","O","10",1
"j_580",0,"L","O","30",1
"j_581",0,"L","O","14",1
"j_582",0,"L","O","02",1
"j_583",0,"L","O","08",1
"j_584",0,"L","O","08",1
"j_585",0,"L","O","24",1
"j_586",0,"L","O","32",1
"j_587",0,"L","O","30",1
"j_588",0,"L","O","30",1
"j_589",0,"L","O","30",1
"j_590",0,"L","O","02",1
"j_591",0,"L","O","02",5
"j_592",0,"L","O","24",1
"j_593",0,"L","O","24",1
"j_594",0,"L","O","22",1
"j_595",0,"L","O","30",1
"j_596",0,"L","O","32",1
"j_597",0,"L","O","02",1
"j_598",0,"L","O","02",1
"j_599",0,"M","O","02",5
"j_600",0,"M","O","04",4
"j_601",0,"M","O","26",4
"j_602",0,"L","O","28",1
"j_603",0,"L","O","28",1
"j_604",0,"L","O","16",1
"j_605",0,"L","O","32",1
"j_606",0,"L","O","32",1
"j_607",0,"L","O","14",1
"j_608",0,"L","O","02",5
"j_609",0,"L","O","02",1
"j_610",0,"M","O","02",5
"j_611",0,"M","O","08",5
"j_612",0,"M","O","08",5
"j_613",0,"L","O","10",1
"j_614",0,"M","O","18",4
"j_615",0,"L","O","32",1
"j_616",0,"L","O","32",1
"j_617",0,"L","O","20",1
"j_618",0,"L","O","04",1
"j_619",0,"L","O","04",1
"j_620",0,"M","O","04",4
"j_621",0,"L","O","32",1
"j_622",0,"M","O","12",5
"j_623",0,"M","O","06",7
"j_624",0,"L","O","10",1
"j_625",0,"L","O","28",1
"j_626",0,"M","O","30",5
"j_627",0,"L","O","30",1
"j_628",0,"M","O","32",5
"j_629",0,"M","O","22",4
"j_630",0,"M","O","10",6
"j_631",0,"L","O","30",5
"j_632",0,"M","O","30",5
"j_633",0,"L","O","02",1
"j_634",0,"L","O","02",1
"j_635",0,"L","O","04",4
"j_636",0,"L","O","04",1
"j_637",0,"L","O","06",1
"j_638",0,"M","O","28",4
"j_639",0,"M","O","16",4
"j_640",0,"M","O","16",4
"j_641",0,"L","O","30",5
"j_642",0,"L","O","30",1
"j_643",0,"L","O","18",1
"j_644",0,"L","O","14",1
"j_645",0,"M","O","26",4
"j_646",0,"M","O","32",5
"j_647",0,"L","O","10",1
"j_648",0,"L","O","14",9
"j_649",0,"M","O","02",5
"j_650",0,"L","O","02",1
"j_651",0,"L","O","20",1
"j_652",0,"L","O","04",4
"j_653",0,"L","O","22",4
"j_654",0,"M","O","30",5
"j_655",0,"L","O","02",5
"j_656",0,"M","O","28",4
"j_657",0,"M","O","04",4
"j_658",0,"L","O","26",1
"j_659",0,"L","O","30",5
"j_660",0,"L","O","14",9
"j_661",0,"L","O","32",1
"j_662",0,"L","O","30",1
"j_663",0,"L","O","22",1
"j_664",0,"L","O","24",6
"j_665",0,"M","O","20",5
"j_666",0,"L","O","26",4
"j_667",0,"M","O","06",7
"j_668",0,"L","O","26",1
"j_669",0,"L","Q","14",1
"j_670",0,"L","Q","14",1
"j_671",1,"L","D.E","16",1
"j_672",0,"L","Q","18",1
"j_673",0,"L","P","10",1
"j_674",0,"L","M","24",1
"j_675",0,"L","O","06",1
"j_676",1,"L","C","06",1
"j_677",1,"L","C","12",1
"j_678",1,"M","R.S","18",3
"j_679",0,"L","O","02",1
"j_680",0,"L","O","02",1
"j_681",0,"L","O","02",1
"j_682",0,"L","Q","06",1
"j_683",0,"L","O","16",1
"j_684",0,"L","O","08",1
"j_685",0,"L","Q","30",11
"j_686",0,"L","Q","30",11
"j_687",0,"L","O","22",1
"j_688",0,"L","O","32",1
"j_689",0,"L","O","14",1
"j_690",0,"L","O","14",1
"j_691",0,"L","O","06",1
"j_692",0,"L","O","28",1
"j_693",0,"L","O","06",1
"j_694",0,"L","O","06",1
"j_695",0,"M","R.S","08",1
"j_696",0,"L","O","04",1
"j_697",0,"L","O","04",1
"j_698",0,"L","O","18",1
"j_699",0,"L","O","04",1
"j_700",0,"L","O","04",1
"j_701",0,"L","R.S","10",1
"j_702",0,"L","O","22",1
"j_703",0,"L","O","22",1
"j_704",0,"L","O","22",1
"j_705",0,"L","O","22",1
"j_706",0,"M","R.S","22",1
"j_707",0,"L","H","24",2
"j_708",1,"L","H","16",1
"j_709",0,"L","H","18",1
"j_710",0,"L","H","02",1
"j_711",0,"L","H","02",2
"j_712",0,"L","H","30",1
"j_713",0,"L","H","30",2
"j_714",0,"L","H","26",1
"j_715",0,"L","Q","22",1
"j_716",0,"L","Q","12",1
"j_717",0,"M","R.S","30",1
"j_718",0,"L","O","30",1
"j_719",0,"L","O","22",1
"j_720",0,"L","Q","10",1
"j_721",0,"L","R.S","24",1
"j_722",0,"L","O","30",1
"j_723",0,"L","P","20",1
"j_724",0,"L","O","12",1
"j_725",0,"M","R.S","22",1
"j_726",0,"L","O","24",1
"j_727",0,"L","O","32",1
"j_728",0,"L","Q","14",1
"j_729",0,"L","O","18",1
"j_730",0,"M","P","14",8
"j_731",1,"M","K.L","18",6
"j_732",0,"L","O","12",1
"j_733",0,"L","O","10",1
"j_734",0,"L","Q","10",1
"j_735",0,"L","O","30",1
"j_736",0,"L","O","30",1
"j_737",0,"L","R.S","24",1
"j_738",1,"L","K.L","22",1
"j_739",1,"L","C","24",1
"j_740",0,"L","Q","24",1
"j_741",0,"L","K.L","14",1
"j_742",1,"L","C","30",1
"j_743",1,"L","G","30",2
"j_744",0,"M","R.S","30",1
"j_745",0,"L","M","14",1
"j_746",1,"L","C","28",16
"j_747",0,"M","R.S","20",1
"j_748",0,"L","Q","14",1
"j_749",0,"L","Q","14",1
"j_750",0,"M","R.S","14",6
"j_751",0,"M","R.S","28",1
"j_752",0,"L","Q","12",1
"j_753",0,"L","Q","24",1
"j_754",0,"L","O","18",1
"j_755",0,"M","R.S","18",1
"j_756",0,"L","O","28",1
"j_757",0,"L","O","24",6
"j_758",0,"L","P","30",1
"j_759",0,"L","M","24",1
"j_760",0,"L","P","02",1
"j_761",0,"L","P","02",1
"j_762",0,"L","P","02",1
"j_763",0,"L","P","02",1
"j_764",0,"L","P","26",1
"j_765",0,"S","Q","30",14
"j_766",0,"M","R.S","24",5
"j_767",0,"M","P","12",9
"j_768",0,"L","P","12",1
"j_769",0,"L","P","06",1
"j_770",0,"L","P","24",6
"j_771",0,"M","R.S","24",1
"j_772",0,"L","P","28",1
"j_773",0,"L","P","28",1
"j_774",0,"L","P","02",2
"j_775",0,"L","P","24",1
"j_776",0,"L","P","24",6
"j_777",0,"M","P","24",6
"j_778",0,"L","P","24",6
"j_779",0,"L","P","24",1
"j_780",0,"L","P","12",9
"j_781",0,"L","P","24",1
"j_782",0,"L","P","24",6
"j_783",0,"L","P","24",7
"j_784",0,"M","P","12",9
"j_785",0,"L","P","10",1
"j_786",0,"L","P","10",6
"j_787",0,"M","P","20",6
"j_788",0,"L","P","20",1
"j_789",0,"L","P","24",6
"j_790",0,"M","P","16",6
"j_791",0,"L","P","06",1
"j_792",1,"L","G","24",2
"j_793",1,"L","G","24",1
"j_794",1,"M","G","14",26
"j_795",1,"L","I","30",2
"j_796",0,"L","R.S","24",1
"j_797",0,"L","R.S","24",4
"j_798",1,"L","K.L","02",1
"j_799",1,"M","C","06",13
"j_800",1,"L","C","06",1
"j_801",0,"L","P","14",8
"j_802",0,"L","P","14",1
"j_803",0,"L","P","14",2
"j_804",0,"L","P","14",1
"j_805",0,"L","P","14",1
"j_806",0,"L","P","14",1
"j_807",0,"L","P","14",1
"j_808",0,"L","P","14",1
"j_809",0,"L","P","14",9
"j_810",0,"L","P","14",8
"j_811",0,"L","P","14",1
"j_812",0,"L","P","14",1
"j_813",0,"L","P","14",1
"j_814",0,"L","P","14",1
"j_815",0,"L","P","14",1
"j_816",0,"L","P","14",1
"j_817",0,"L","P","14",1
"j_818",0,"L","P","14",1
"j_819",0,"L","P","14",1
"j_820",0,"L","Q","12",1
"j_821",0,"L","P","10",1
"j_822",1,"L","K.L","10",1
"j_823",0,"L","P","04",1
"j_824",0,"M","R.S","24",1
"j_825",1,"L","N","22",1
"j_826",0,"L","R.S","16",1
"j_827",1,"L","K.L","22",1
"j_828",0,"L","C","14",1
"j_829",0,"L","P","14",8
"j_830",0,"S","R.S","14",5
"j_831",0,"L","Q","02",1
"j_832",0,"M","M","14",22
"j_833",0,"L","M","30",1
"j_834",0,"S","P","20",8
"j_835",0,"L","O","14",1
"j_836",1,"L","C","10",1
"j_837",1,"L","C","10",18
"j_838",1,"L","C","10",1
"j_839",0,"L","Q","24",2
"j_840",0,"L","O","22",1
"j_841",0,"L","O","24",1
"j_842",0,"L","O","10",1
"j_843",0,"L","O","32",1
"j_844",0,"L","O","02",1
"j_845",0,"L","O","08",1
